legacy_db,legacy_table,family,target_entity,target_table,legacy_column_count,primary_key_columns,foreign_key_count
01-ventanilla,qcl_config,qcl_config,legacy_reference_or_payload,raw_record,32,qcl_cnf_pais,0
01-ventanilla,secuencias,secuencias,legacy_reference_or_payload,raw_record,3,vus_seq_tpr_id|vus_seq_tipo,0
01-ventanilla,temporal,temporal,legacy_reference_or_payload,raw_record,69,,0
01-ventanilla,vus_ayuda,vus_ayuda,legacy_reference_or_payload,raw_record,4,vus_ayu_id,0
01-ventanilla,vus_ayuda_also,vus_ayuda_also,legacy_reference_or_payload,raw_record,3,vus_als_id|vus_ayu_form1|vus_ayu_form2,0
01-ventanilla,vus_cenavif_notif,vus_cenavif_notif,legacy_reference_or_payload,raw_record,56,vus_cnv_id,0
01-ventanilla,vus_config,vus_config,legacy_reference_or_payload,raw_record,36,vus_cnf_pais,0
01-ventanilla,vus_config_calendario,vus_config_calendario,legacy_reference_or_payload,raw_record,3,,0
01-ventanilla,vus_guias,vus_guias,legacy_reference_or_payload,raw_record,3,id,0
01-ventanilla,vus_mensajes,vus_mensajes,legacy_reference_or_payload,raw_record,11,vus_msg_id,0
01-ventanilla,vus_tramites,vus_tramites,legacy_reference_or_payload,raw_record,17,vus_numsol|vus_tpt_id|vus_tpr_id,0
01-ventanilla,vus_tramites_ec,vus_tramites_{tipo},case_request,case_request,149,vus_ec_numsol|vus_ec_tpt_id|vus_ec_tpr_id,0
01-ventanilla,vus_tramites_ec1,vus_tramites_{tipo},case_request,case_request,149,vus_ec_numsol|vus_ec_tpt_id|vus_ec_tpr_id,0
01-ventanilla,vus_tramites_ec1_AUDIENCIAS,vus_tramites_{tipo}_audiencias,case_appointment,case_event,14,vus_ecAUD_numsol|vus_ecAUD_tpt_id|vus_ecAUD_tpr_id|vus_ecAUD_crea_dt,1
01-ventanilla,vus_tramites_ec1_CHKinf,vus_tramites_{tipo}_chkinf,case_checklist_response,case_checklist_response,13,vus_ecCHKi_numsol|vus_ecCHKi_tpt_id|vus_ecCHKi_tpr_id|vus_ecCHKi_etapa|vus_ecCHKi_tec_id,1
01-ventanilla,vus_tramites_ec1_CHKl,vus_tramites_{tipo}_chkl,case_checklist_response,case_checklist_response,70,vus_ecCHK_numsol|vus_ecCHK_tpt_id|vus_ecCHK_tpr_id|vus_ecCHK_tec_id|vus_ecCHK_ttc_id|vus_ecCHK_ttd_id|vus_ecCHK_ttl_part,1
01-ventanilla,vus_tramites_ec1_DOCs,vus_tramites_{tipo}_docs,case_document,case_document,18,vus_ecDOC_numsol|vus_ecDOC_tpt_id|vus_ecDOC_tpr_id|vus_ecDOC_ttc_id|vus_ecDOC_ttd_id|vus_ecDOC_ttd_part|vus_ecDOC_copy,1
01-ventanilla,vus_tramites_ec1_EMPRESAS,vus_tramites_{tipo}_empresas,case_party,case_party,145,vus_ecEMP_numsol|vus_ecEMP_tpt_id|vus_ecEMP_tpr_id|vus_ecEMP_rif|vus_ecEMP_rol_id|vus_ecEMP_nombre,1
01-ventanilla,vus_tramites_ec1_FIT,vus_tramites_{tipo}_fit,case_technical_sheet,form_submission,32,vus_ecFIT_numsol|vus_ecFIT_tpt_id|vus_ecFIT_tpr_id|vus_ecFIT_tipo,1
01-ventanilla,vus_tramites_ec1_MUESTRAS,vus_tramites_{tipo}_muestras,case_sample,case_event,16,vus_ecMUE_numsol|vus_ecMUE_tpt_id|vus_ecMUE_tpr_id|vus_ecMUE_tipo,1
